'a'bi'ke'tang 阿比可糖
'a'da'mu'dan'kang 阿达木单抗
'a'di'sen'shi'bing 阿狄森氏病
'a'di'si'xian'xiang 阿蒂斯现象
'a'ding 吖啶
'a'ding'cheng 吖啶橙
'a'ding'huang 吖啶黄
'a'ding'huang'a'ding'huang'su'yuan'ding'ti 吖啶黄吖啶黄素原顶体
'a'ding'huang'su 吖啶黄素
'a'ding'lei'sheng'wu'jian 吖啶类生物碱
'a'ding'ran'liao 吖啶燃料
'a'dou 阿窦
'a'er'ci'hai'mo'bing 阿尔茨海默病
'a'er'te'man'shi'li 阿耳特曼氏粒
'a'fen'tai'ni 阿芬太尼
'a'fo'jun'su'lai'zi'chu'chong'lian'mei'su 阿佛菌素来自除虫链霉素
'a'fu'ta'kui'yang 阿弗他溃疡
'a'gen'ting'cao'yuan 阿根廷草原
'a'gen'ting'jian 阿根廷碱
'a'hei'pi'yuan 阿黑皮原
'a'hong'bing 阿洪病
'a'ke'ka'huan 阿克卡环
'a'ke'la'mei'su 阿克拉霉素
'a'ku'mi'xin'jian 阿枯米辛碱
'a'la'bo'ban'ru'ju'tang 阿拉伯半乳聚糖
'a'la'bo'bi'nan'tang 阿拉伯吡喃糖
'a'la'bo'fu'nan'tang 阿拉伯呋喃糖
'a'la'bo'jiao 阿拉伯胶
'a'la'bo'ju'tang 阿拉伯聚糖
'a'la'bo'mu'ju'tang 阿拉伯木聚糖
'a'la'bo'shu'jiao 阿拉伯树胶
'a'la'bo'suan 阿拉伯酸
'a'la'bo'tang 阿拉伯糖
'a'la'bo'tang'an'chun 阿拉伯糖胺醇
'a'la'bo'tang'ji'pu'tang'gan 阿拉伯糖基葡糖苷
'a'la'bo'tang'suan 阿拉伯糖酸
'a'la'bo'tang'xing'kang'huai'xue'suan 阿拉伯糖型抗坏血酸
'a'la'bo'tong'tang 阿拉伯酮糖
'a'li'shi'yuan'li 阿利氏原理
'a'lun'shi'fa'ze 阿伦氏法则
'a'luo'jia'ji'tang 阿洛甲基糖
'a'luo'tang 阿洛糖
'a'luo'tang'yi'ran'se'ti 阿洛糖异染色体
'a'luo'tong'tang 阿洛酮糖
'a'luo'tong'tang'lin'suan'tu'jing 阿洛酮糖磷酸途径
'a'luo'tong'tang'xian'gan 阿洛酮糖腺苷
'a'ma'ling 阿吗灵
'a'mei'su'ya'de'li'ya'mei'su 阿霉素亚德里亚霉素
'a'mi'ba'bing 阿米巴病
'a'mi'ba'dian'fen'mei 阿米巴淀粉酶
'a'mi'ba'fei'nong'zhong 阿米巴肺脓肿
'a'mi'ba'zhuang'xi'bao 阿米巴状细胞
'a'mi'tuo 阿密妥
'a'ming'lu'fa 阿明露法
'a'ni'qi'ke'fu'xi'bao 阿尼齐科夫细胞
'a'niao 阿脲
'a'niao'suan 阿脲酸
'a'niao'tang'niao'bing 阿脲糖尿病
'a'pei'er'zong'he'zheng 阿佩尔综合征
'a'pian 阿片
'a'pian'ji 阿片剂
'a'pian'yang'cu'pi'zhi'su'yuan 阿片样促皮质素原
'a'pian'yang'tai 阿片样肽
'a'pian'yang'wu'zhi 阿片样物质
'a'pu'fei 啊朴啡
'a'qu'ku'an 阿曲库铵
'a'shao'fu'xiao'ti 阿绍夫小体
'a'si'ba'tian'ji 阿斯巴甜剂
'a'tang'xian'gan 啊糖腺苷
'a'tuo'pin 阿托品
'a'zha'na'wei 阿扎那韦
'a'zhuo'tang 阿卓糖
'a'zhuo'tang'chun 阿卓糖醇
'ai'bo'nei'shi'xian 埃伯内氏腺
'ai'bo'nei'xian 埃伯内腺
'ai'bo'nei'xian 埃伯内线
'ai'cao'cao'dian 矮草草甸
'ai'dan'bai 癌蛋白
'ai'de'hua'zi'xin'zang'ban'mo 爱德华兹心脏瓣膜
'ai'de'man'jiang'jie 埃德曼降解
'ai'de'man'shi'ji 埃德曼试剂
'ai'de'meng'tuo'long 爱德蒙托龙
'ai'de'ping 癌得平
'ai'de'sheng'shi'yan 爱德生试验
'ai'du'tang 艾杜糖
'ai'du'tang'chun 艾杜糖醇
'ai'du'tang'gan'suan'mei 艾杜糖苷酸酶
'ai'du'tang'quan'suan 艾杜糖醛酸
'ai'du'tang'quan'suan'yan 艾杜糖醛酸盐
'ai'du'tang'suan 艾杜糖酸
'ai'du'tang'suan'nei'zhi 艾杜糖酸内酯
'ai'gan'pin'zhong 矮秆品种
'ai'gang 嗌纲
'ai'gao'wei'ya'zhi'wu 矮高位芽植物
'ai'guan'cong'di 矮灌丛地
'ai'guan'mu 矮灌木
'ai'hua'bing 矮化病
'ai'ji'yin 癌基因
'ai'ke'bing'du 埃可病毒
'ai'li'sen'zong'he'zheng 埃利森综合征
'ai'li'xi'ce'lian'xue'shuo 埃利希侧链学说
'ai'li'xi'shi'ce'lian'xue'shuo 艾利希氏侧链学说
'ai'lin 矮林
'ai'lin'di 矮林地
'ai'mo'jia'ban 艾默夹板
'ai'mu'shi'shi'yan 艾姆氏实验
'ai'pei'kang'yuan 癌胚抗原
'ai'qian'bing'bian 癌前病变
'ai'qian'niu'gan 矮牵牛苷
'ai'qian'niu'gan'pei'ji 矮牵牛苷配基
