时间	A1	黑马线	趋势线  三条线的顺序一致，三条线各自的abs差值之和最小者为最类似的k线
2002-10-18	7.414	7.052	10.667
2002-10-21	8.422	7.509	13.370
2002-10-22	11.597	8.872	20.262
2002-10-23	14.226	10.656	29.143
2002-10-24	15.057	12.123	33.193
2002-10-25	14.066	12.771	30.890
2002-10-28	11.529	12.357	23.425
2002-10-29	11.363	12.025	18.780
2002-10-30	11.116	11.722	18.918
2002-10-31	10.706	11.384	18.444
2002-11-01	10.693	11.153	18.389
2002-11-04	12.713	11.673	23.657
2002-11-05	16.872	13.406	39.634
2002-11-06	19.653	15.488	57.957
2002-11-07	22.038	17.672	71.769
2002-11-08	20.859	18.734	72.981
2002-11-11	18.202	18.557	59.205
2002-11-12	15.004	17.372	41.995
2002-11-13	14.488	16.411	31.451
2002-11-14	11.682	14.835	23.263
2002-11-15	10.385	13.352	14.343
2002-11-18	8.630	11.778	8.800
2002-11-19	8.595	10.717	6.375
2002-11-20	7.033	9.489	4.638
2002-11-21	5.719	8.232	0.607
2002-11-22	5.885	7.450	-0.061
2002-11-25	6.211	7.037	2.047
2002-11-26	4.979	6.351	1.654
2002-11-27	5.570	6.091	1.608
2002-11-28	8.614	6.932	7.900
2002-11-29	12.449	8.771	17.691
2002-12-02	13.014	10.185	22.418
2002-12-03	14.411	11.594	23.212
2002-12-04	15.932	13.040	25.463
2002-12-05	16.462	14.180	26.546
2002-12-06	17.008	15.123	26.334
2002-12-09	17.129	15.792	26.937
2002-12-10	15.974	15.852	26.176
2002-12-11	14.706	15.470	23.733
2002-12-12	14.040	14.994	22.817
2002-12-13	14.534	14.840	25.362
2002-12-16	16.037	15.239	32.434
2002-12-17	17.882	16.120	41.916
2002-12-18	19.007	17.082	49.810
2002-12-19	20.104	18.090	56.255
2002-12-20	22.350	19.510	64.987
2002-12-23	24.763	21.261	74.252
2002-12-24	26.874	23.132	80.852
2002-12-25	27.717	24.660	83.051
2002-12-26	24.994	24.771	71.534
2002-12-27	22.708	24.084	52.332
2002-12-30	19.369	22.512	36.632
2002-12-31	16.292	20.439	23.902
2003-01-02	13.282	18.053	13.802
2003-01-03	11.169	15.758	6.249
2003-01-06	10.694	14.070	4.647
2003-01-07	10.114	12.752	6.131
2003-01-08	12.711	12.738	13.667
2003-01-09	16.725	14.067	29.880
2003-01-10	18.978	15.704	43.331
2003-01-13	20.892	17.433	50.766
2003-01-14	28.585	21.150	63.460
2003-01-15	34.209	25.503	77.619
2003-01-16	40.674	30.560	88.236
2003-01-17	45.315	35.478	96.557
2003-01-20	49.334	40.097	100.627
2003-01-21	50.424	43.539	100.089
2003-01-22	51.727	46.268	96.588
2003-01-23	52.010	48.182	93.188
2003-01-24	54.414	50.260	92.597
2003-01-27	60.736	53.752	96.281
2003-01-28	66.930	58.145	99.915
2003-01-29	72.654	62.981	101.655
2003-02-10	75.236	67.066	99.712
2003-02-11	78.582	70.905	97.334
2003-02-12	82.834	74.881	98.458
2003-02-13	84.826	78.196	99.105
2003-02-14	87.058	81.150	98.476
2003-02-17	87.453	83.251	96.396
2003-02-18	87.763	84.755	92.343
2003-02-19	89.392	86.301	91.293
2003-02-20	90.569	87.723	92.382
2003-02-21	88.561	88.003	82.733
2003-02-24	87.250	87.752	66.861
2003-02-25	89.027	88.177	65.355
2003-02-26	90.632	88.995	73.562
2003-02-27	91.469	89.820	78.793
2003-02-28	91.972	90.537	80.838
2003-03-03	93.558	91.544	85.196
2003-03-04	94.346	92.478	90.246
2003-03-05	94.323	93.093	88.964
2003-03-06	92.578	92.921	77.466
2003-03-07	90.700	92.181	60.355
2003-03-10	86.980	90.447	40.035
2003-03-11	84.062	88.319	21.150
2003-03-12	82.228	86.289	13.067
2003-03-13	79.811	84.130	8.062
2003-03-14	78.006	82.088	2.640
2003-03-17	76.858	80.345	2.124
2003-03-18	75.079	78.590	1.982
2003-03-19	74.580	77.253	2.817
2003-03-20	73.683	76.063	5.368
2003-03-21	73.893	75.340	8.853
2003-03-24	74.346	75.009	15.224
2003-03-25	73.300	74.439	16.566
2003-03-26	71.901	73.593	11.834
2003-03-27	74.732	73.973	19.351
2003-03-28	76.318	74.754	35.114
2003-03-31	79.295	76.268	48.886
2003-04-01	82.775	78.437	66.017
2003-04-02	85.392	80.755	81.227
2003-04-03	86.504	82.671	89.350
2003-04-04	88.153	84.499	94.333
2003-04-07	88.514	85.837	97.079
2003-04-08	89.517	87.064	97.152
2003-04-09	91.404	88.510	100.138
2003-04-10	91.594	89.538	102.556
2003-04-11	92.562	90.546	103.345
2003-04-14	93.981	91.691	104.978
2003-04-15	95.118	92.833	106.370
2003-04-16	91.828	92.498	102.516
2003-04-17	89.920	91.639	95.842
2003-04-18	87.343	90.207	90.646
2003-04-21	82.185	87.533	82.557
2003-04-22	77.760	84.275	73.337
2003-04-23	71.582	80.044	63.922
2003-04-24	62.851	74.313	50.814
2003-04-25	54.243	67.623	32.926
2003-04-28	52.346	62.531	22.774
2003-04-29	48.027	57.696	19.836
2003-04-30	45.770	53.721	16.447
2003-05-12	44.992	50.811	17.345
2003-05-13	39.774	47.132	14.181
2003-05-14	39.313	44.526	11.399
2003-05-15	42.139	43.730	18.266
2003-05-16	44.318	43.926	27.172
2003-05-19	46.159	44.670	33.618
2003-05-20	45.665	45.002	35.967
2003-05-21	45.068	45.024	35.048
2003-05-22	45.838	45.295	35.722
2003-05-23	47.919	46.170	39.508
2003-05-26	50.428	47.589	47.132
2003-05-27	52.321	49.166	55.453
2003-05-28	52.202	50.178	60.577
2003-05-29	53.721	51.359	69.665
2003-05-30	55.737	52.818	82.490
2003-06-02	57.375	54.337	91.738
2003-06-03	57.274	55.316	94.833
2003-06-04	58.367	56.333	95.872
2003-06-05	57.477	56.715	94.780
2003-06-06	55.055	56.161	86.516
2003-06-09	52.258	54.860	75.269
2003-06-10	50.864	53.528	67.270
2003-06-11	52.422	53.159	68.805
2003-06-12	53.300	53.206	72.131
2003-06-13	54.462	53.625	72.267
2003-06-16	54.694	53.981	70.867
2003-06-17	54.631	54.198	66.524
2003-06-18	54.254	54.216	61.491
2003-06-19	52.460	53.631	51.644
2003-06-20	50.108	52.457	34.547
2003-06-23	44.408	49.774	17.766
2003-06-24	39.968	46.505	8.049
2003-06-25	35.242	42.751	2.119
2003-06-26	32.969	39.490	2.923
2003-06-27	29.074	36.018	5.665
2003-06-30	24.706	32.247	2.174
2003-07-01	21.062	28.519	-1.792
2003-07-02	19.846	25.628	0.091
2003-07-03	19.412	23.556	7.117
2003-07-04	18.828	21.980	13.053
2003-07-07	18.263	20.741	16.911
2003-07-08	19.005	20.163	21.856
2003-07-09	18.613	19.646	25.748
2003-07-10	21.543	20.278	32.866
2003-07-11	24.749	21.768	43.404
2003-07-14	26.326	23.288	48.511
2003-07-15	29.387	25.321	51.826
2003-07-16	33.813	28.151	56.193
2003-07-17	39.160	31.821	63.828
2003-07-18	37.540	33.727	66.009
2003-07-21	34.176	33.877	56.994
2003-07-22	31.962	33.239	47.883
2003-07-23	30.304	32.260	43.536
2003-07-24	27.324	30.615	38.784
2003-07-25	23.006	28.078	29.268
2003-07-28	19.345	25.167	19.062
2003-07-29	17.591	22.642	13.719
2003-07-30	16.589	20.624	12.876
2003-07-31	15.293	18.847	12.426
2003-08-01	14.293	17.329	11.630
2003-08-04	16.453	17.037	16.236
2003-08-05	18.173	17.416	24.462
2003-08-06	18.178	17.670	28.004
2003-08-07	18.372	17.904	28.543
2003-08-08	15.788	17.199	24.732
2003-08-11	14.584	16.327	18.995
2003-08-12	14.434	15.696	17.788
2003-08-13	12.066	14.486	14.724
2003-08-14	10.308	13.094	9.245
2003-08-15	8.703	11.630	5.468
2003-08-18	7.334	10.198	2.832
2003-08-19	6.953	9.117	2.751
2003-08-20	6.810	8.348	4.676
2003-08-21	6.642	7.779	6.425
2003-08-22	6.192	7.250	7.035
2003-08-25	5.333	6.611	5.869
2003-08-26	5.222	6.148	5.271
2003-08-27	5.151	5.816	6.163
2003-08-28	4.225	5.286	5.122
2003-08-29	5.259	5.277	6.036
2003-09-01	9.625	6.726	16.547
2003-09-02	12.703	8.718	29.525
2003-09-03	15.626	11.021	37.921
2003-09-04	18.504	13.515	43.693
2003-09-05	18.526	15.185	44.280
2003-09-08	17.673	16.015	40.035
2003-09-09	16.144	16.058	33.969
2003-09-10	15.386	15.834	29.106
2003-09-11	14.897	15.521	27.342
2003-09-12	12.289	14.444	22.444
2003-09-15	10.281	13.056	14.846
2003-09-16	10.430	12.181	13.836
2003-09-17	8.740	11.034	13.065
2003-09-18	7.895	9.988	9.478
2003-09-19	7.333	9.103	8.496
2003-09-22	6.252	8.153	6.767
2003-09-23	7.072	7.792	7.772
2003-09-24	8.211	7.932	13.129
2003-09-25	6.980	7.615	13.444
2003-09-26	5.944	7.058	9.075
2003-09-29	4.979	6.365	5.668
2003-09-30	5.956	6.228	6.346
2003-10-08	7.209	6.555	11.181
2003-10-09	7.963	7.024	15.105
2003-10-10	13.253	9.101	25.009
2003-10-13	16.949	11.717	40.866
2003-10-14	18.645	14.026	50.066
2003-10-15	19.411	15.821	51.841
2003-10-16	17.767	16.470	46.856
2003-10-17	17.217	16.719	40.049
2003-10-20	15.288	16.242	34.137
2003-10-21	14.390	15.625	29.247
2003-10-22	18.201	16.483	38.752
2003-10-23	19.723	17.563	52.650
2003-10-24	20.294	18.474	56.749
2003-10-27	19.088	18.678	53.635
2003-10-28	18.105	18.487	47.088
2003-10-29	16.719	17.898	40.677
2003-10-30	13.965	16.587	30.465
2003-10-31	12.977	15.384	21.786
2003-11-03	14.290	15.019	22.608
2003-11-04	18.916	16.318	34.385
2003-11-05	22.311	18.316	48.185
2003-11-06	21.432	19.354	48.868
2003-11-07	18.957	19.222	38.479
2003-11-10	17.850	18.765	29.446
2003-11-11	17.487	18.339	25.381
2003-11-12	14.126	16.934	18.713
2003-11-13	12.938	15.602	11.703
