
股票	日期	机构或基金名称	持有数量(股)	占流通股比例	持股变化(股)	变动比例
紫金矿业 [601899]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金	30600	1.22	2980.07	10.81%
紫金矿业 [601899]	20200331	中信信托有限责任公司-中信信托锐进43期高毅晓峰投资集合资金信托计划	27600	1.11	1760.55	6.81%
世纪华通 [002602]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	21900	8.44	21900	100%
广汇汽车 [600297]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	17000	2.1	17000	100%
伊利股份 [600887]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	8500	1.45	8500	100%
隆鑫通用 [603766]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	7000	3.41	3020	75.88%
紫光股份 [000938]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	6800.01	3.33	1000	17.24%
中航机电 [002013]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	6150	1.7	6150	100%
隆平高科 [000998]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	5600	5.78	500	9.8%
蓝帆医疗 [002382]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	4600	7.18	4600	100%
亚厦股份 [002375]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	3100.01	2.33	3100.01	100%
厦门象屿 [600057]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	3000	1.39	3000	100%
完美世界 [002624]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	2150	1.85	2150	100%
洪城水业 [600461]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	2000	2.53	2000	100%
利尔化学 [002258]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	2000	3.83	362	22.1%
楚江新材 [002171]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	2000	1.85	2000	100%
回天新材 [300041]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	2000	6.2	2000	100%
天山股份 [000877]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	1800	2.05	1800	100%
宏发股份 [600885]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金	1111.35	1.49	1111.35	100%
博雅生物 [300294]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	1100.01	2.54	1100.01	100%
广信股份 [603599]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	1000	2.15	1000	100%
深粮控股 [000019]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	1000	2.14	1000	100%
宗申动力 [001696]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	750	0.84	750	100%
迈克生物 [300463]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金	740.69	1.97	94.99	14.71%
保隆科技 [603197]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	618	6.28	618	100%
黔源电力 [002039]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金	511.12	1.67	511.12	100%
东珠生态 [603359]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	380	2.48	380	100%
扬农化工 [600486]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅利伟精选唯实基金	226.71	0.73	226.71	100%
盘龙药业 [002864]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金	198.56	4.42	104	109.98%
密尔克卫 [603713]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅庆瑞6号瑞行基金	66.27	0.97	66.27	100%
雅运股份 [603790]	20200331	王高毅	60	0.97	60	100%
特宝生物 [688278]	20200331	中信信托有限责任公司-中信信托锐进43期高毅晓峰投资集合资金信托计划	51.78	1.36	51.78	100%
特宝生物 [688278]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金	50.81	1.33	50.81	100%
特宝生物 [688278]	20200331	上海高毅资产管理合伙企业(有限合伙)-高毅-晓峰1号睿远证券投资基金	35.53	0.93	35.53	100%


股票	日期	机构或基金名称	持有数量(股)	占流通股比例	持股变化(股)	变动比例
梦网集团 [002123]	20200331	招商银行股份有限公司-睿远成长价值混合型证券投资基金	3974.78	5.98	2148.62	117.66%
凯利泰 [300326]	20200331	招商银行股份有限公司-睿远成长价值混合型证券投资基金	3165.42	4.43	30.73	0.98%
通威股份 [600438]	20200331	招商银行股份有限公司-睿远成长价值混合型证券投资基金	2693.67	0.63	2693.67	100%
领益智造 [002600]	20200331	招商银行股份有限公司-睿远成长价值混合型证券投资基金	2595.79	1.51	2595.79	100%
